sentence,target,polarity
The tweet in question contained a seemingly explosive claim that sent critics of Mr. Trump into a frenzy: “I had to fire General Flynn because he lied to the Vice President and the FBI.,General Flynn,2.0
"But Mr. McBean, who the investigation showed was listening to music with earbuds, apparently did not hear them.","Mr. McBean, who the investigation showed",2.0
"But, in my opinion, he won because, above all, people believe him to be ethical.",he,6.0
Let’s elect more people like Mr. Lamb.,Mr. Lamb,6.0
"Then shots rang out, and Ms. Najjar fell to the ground.",Ms. Najjar,4.0
"Despite Mr. Trump’s rhetoric and threats to impede the Mueller investigation, warnings from his team that his acts could create liability for him seem at times to have restrained the president.",Mueller,4.0
"“I’ve never wanted to take out fabric from this cathedral,” Dean Hollerith said.",Dean Hollerith,4.0
"Vashukevich first came to the attention of close watchers of the Trump-Russia story last month, thanks to a 25-minute video by Aleksei Navalny, a Russian dissident famed for exposing corruption in his country.",Navalny,6.0
"Because if he’s right in his prediction that the G.O.P. will ultimately accept President Trump’s firing of Robert Mueller along with everything else it has thus far seen fit to accept, then it won’t be just the G.O.P. that’s “rotting.”",he,4.0
But the Democratic primary could present unique challenges to Mr. O’Rourke.,Mr. O’Rourke,4.0
"Yet as the person who spent the most time with Mr. Trump, Ms. Hicks became enmeshed in a number of controversies over the past year, including key aspects of the investigations by Congress and the special counsel, Robert S. Mueller III, into possible collusion between the Russian government and the Trump campaign, as well as the firing of the F.B.I. director, James B. Comey.",Ms. Hicks,2.0
She asked if he had regrets.,She,4.0
"Advertisement Continue reading the main story
In a telephone interview from Gracanica, the show’s playwright, Jelena Bogavac, said she had hoped to write a play about ordinary daily life in Kosovo, but found that “the main character, the main role, in our lives in the ’90s was Slobodan Milosevic.”",Slobodan Milosevic,4.0
"President Trump’s critics say that while he may not yet have eroded democracy in the United States, his populist appeals and nativist policies, his palpable aversion to the media and traditional checks on power, and his stated admiration for some of the strongest of strongmen are cut from the same cloth.",he,2.0
"When Mr. Asgari was told in May that Caspian was closing without repaying his $42,000, he stepped outside and checked the encrypted social media app Telegram, where he found many groups for “property losers” victimized by Caspian and others like it.",Caspian,2.0
France deployed thousands of police officers to try to contain nationwide protests and road blockades by drivers angry over rising fuel taxes and Emmanuel Macron’s presidency.,Emmanuel Macron’s,2.0
France deployed thousands of police officers to try to contain nationwide protests and road blockades by drivers angry over rising fuel taxes and Emmanuel Macron’s presidency.,France,4.0
"Until this week, perhaps the least qualified attorney general in living memory was Alberto Gonzales, who served unhappily in George W. Bush’s second term before he resigned under a legal cloud.",George W. Bush’s,2.0
The White House said in a statement that it continued to support Mr. Goodfriend.,Mr. Goodfriend,6.0
"Ms. Alberto has established herself as one of the city’s rising female trail runners after a string of podium finishes, including winning a 27.9-mile ultramarathon in January.",Ms. Alberto,6.0
James Murdoch thought Fox News was toxic to the company.,Fox,2.0
"Ms. McGowan reached a $100,000 settlement with Mr. Weinstein in 1997 after a hotel room incident at the Sundance Film Festival, and in recent days has been vocal in her support of women who have stepped forward to reveal that the producer sexually harassed them or worse.",Mr. Weinstein,2.0
"Mr. Frawley described a different, perhaps more Australian, sensibility.",Mr. Frawley,4.0
How Bernie Sanders Learned to Walk the Line,Bernie Sanders,6.0
"Mr. Bolton also was accused of attempting to inflate the dangers of Syria’s biological and nuclear weapons programs, by trying to sneak exaggerated assertions into speeches and congressional testimony before being called on it by intelligence officials.",Mr. Bolton,2.0
"Roy Moore faces criticism from Drudge Report, Sean Hannity",Roy Moore,2.0
"President Donald Trump and China President Xi Jinping (Photo: Andy Wong, AP)
Trump announced Sunday on Twitter that he intended to increase tariffs on $200 billion in Chinese goods and impose new levies on another $350 billion in imports because he was angry about the pace of the talks and at what he said was China’s attempts at backtracking on several commitments it had made during months of negotiations.",Trump,4.0
"""He just wrote me a beautiful letter.",He,6.0
"""He just wrote me a beautiful letter.",a beautiful letter,6.0
"By the end of this circus, Trump was practically mewling, begging for Putin’s approval, saying that Putin’s denials were “extremely powerful and strong,” almost in a kind of weirdly erotic tone of admiration.",Trump,2.0
"By the end of this circus, Trump was practically mewling, begging for Putin’s approval, saying that Putin’s denials were “extremely powerful and strong,” almost in a kind of weirdly erotic tone of admiration.",Putin,2.0
"""It is something that if anybody would look just by Googling my name online you would see what he has written about me,"" Kaouk said of Antoon.",""" Kaouk",4.0
"Trump sarcastically thanked Omar during his speech Saturday before adding, ""Oh, I forgot.",Trump,2.0
John Kelly’s 17 months in the White House definitely had its ups and downs the the president’s chief of staff.,the White House,4.0
"""I’d like to see this be a friendly departure,"" Kelly says in the recording.",""" Kelly",4.0
"In his first year, Trump has delivered fiery speeches to campaign rallies around the country.",his,6.0
"CLOSE Amanda Knox is getting $20,000 in financial damages from Italy for failing to provide her with legal assistance and a translator in 2007.",Italy,2.0
"“Being president has cost me a fortune — a tremendous fortune like you’ve never seen before,” Trump said to reporters last year.",Trump,4.0
"To win consistently again, Democrats must understand what helped put Lamb over the top in that corner of Trump Country.",Lamb,6.0
"Alfred Wilson, her supervisor of five years at Miller Law Group, described Heyer as “strong, outspoken, loving.”",Heyer,6.0
"Alfred Wilson, her supervisor of five years at Miller Law Group, described Heyer as “strong, outspoken, loving.”",her,6.0
"But marchers gathered anyway, honoring Heyer at the downtown cross-street where she was killed
Jason Kessler, the local organizer of Saturday’s Unite the Right rally, tried to hold a news conference earlier Sunday in front of Charlottesville City Hall — and it quickly descended into chaos.",Heyer,6.0
Friends described Heyer as a woman with a generous spirit and strong sense of justice.,Heyer,6.0
"Tenney's Democratic opponent, state Assemblyman Anthony Brindisi, was graded an ""F."" Brindisi has gone against the majority of Democrats in the Assembly and voted against the SAFE Act, which is not favored by gun owners.",Tenney,4.0
